"","animalid","Sex","Neutered","Breed","CauseDeath","Method.of.death","dateBirth","dateDeath"
"27470",6966417,"Female","Entire","Jack Russell Terrier","Collapsed","Euthanasia",2000-06-08,2016-08-08
"27471",3954356,"Female","Neutered","Labrador Retriever","Poor quality of life","Euthanasia",2000-03-06,2016-05-06
"27472",12355068,"Female","Neutered","Staffordshire Bull Terrier","Collapsed","Euthanasia",2000-01-04,2016-03-04
"27473",7012497,"Male","Entire","Toy Poodle","Collapsed","Euthanasia",2000-05-10,2016-07-10
"27474",3533473,"Male","Entire","Crossbreed","Musculoskeletal disorder","Euthanasia",2000-02-02,2016-05-02
"27476",7719671,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-03-12,2016-06-12
"27478",3488725,"Male","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Unassisted",2000-07-12,2016-10-12
"27480",6724088,"Female","Entire","Crossbreed","Musculoskeletal disorder","Euthanasia",2000-05-07,2016-08-07
"27481",11565181,"Male","Neutered","Border Collie","Mass","Euthanasia",2000-01-06,2016-04-06
"27482",7014523,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2000-06-10,2016-09-10
"27483",6920210,"Male","Entire","Crossbreed","Mass","Euthanasia",2000-07-09,2016-10-09
"27491",3957514,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-06-06,2016-10-06
"27495",7720978,"Female","Neutered","Labrador Retriever","Incontinence","Euthanasia",2002-01-01,2018-06-01
"27496",2304768,"Female","Neutered","Crossbreed","Poor quality of life","Euthanasia",2000-02-01,2016-07-01
"27498",3536515,"Female","Entire","Crossbreed","Poor quality of life","Euthanasia",2000-03-02,2016-08-02
"27500",11562795,"Female","Neutered","Crossbreed","Collapsed","Euthanasia",2000-07-05,2016-12-05
"27502",3957513,"Female","Entire","West Highland White Terrier","Disorder not diagnsosed","Euthanasia",2000-06-06,2016-11-06
"27504",12348478,"Female","Neutered","Crossbreed","Ophthalmological disorder","Euthanasia",2002-01-02,2018-07-02
"27506",3539951,"Female","Entire","Crossbreed","Female reproductive disorder","Euthanasia",2000-04-02,2016-11-02
"27507",3560580,"Female","Entire","Border Collie","Brain disorder","Euthanasia",2000-01-03,2016-08-03
"27509",2878471,"Male","Neutered","Yorkshire Terrier","Behaviour disorder","Euthanasia",2000-01-06,2016-08-06
"27511",11368241,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2002-01-01,2018-09-01
"27516",3919107,"Female","Entire","Crossbreed","Collapsed","Euthanasia",2000-01-05,2016-09-05
"27519",12335299,"Male","Neutered","Border Terrier","Brain disorder","Euthanasia",2002-01-01,2018-10-01
"27520",886672,"Male","Neutered","Yorkshire Terrier","Poor quality of life","Euthanasia",2000-01-12,2016-10-12
"27524",12348881,"Male","Neutered","Crossbreed","Endocrine system disorder","Euthanasia",2002-01-06,2018-10-06
"27529",3822541,"Male","Neutered","Jack Russell Terrier","Abdominal disease","Euthanasia",2000-01-04,2016-11-04
"27534",2192096,"Female","Entire","Labrador Retriever","Neurological disorder","Euthanasia",2001-01-01,2017-12-01
"27605",1814361,"Female","Neutered","Jack Russell Terrier","Collapsed","Euthanasia",2002-12-05,2018-05-06
"27606",1193236,"Female","Neutered","West Highland White Terrier","Musculoskeletal disorder","Euthanasia",2000-11-07,2016-04-08
"27611",3828099,"Female","Entire","Jack Russell Terrier","Musculoskeletal disorder","Euthanasia",2000-05-10,2016-01-11
"27615",1866103,"Female","Neutered","Crossbreed","Incontinence","Euthanasia",2000-10-06,2016-08-07
"27616",11312320,"Female","Neutered","Crossbreed","Thin","Euthanasia",2001-05-09,2017-03-10
"27618",2174053,"Male","Entire","Crossbreed","Collapsed","Euthanasia",2000-08-04,2016-06-05
"27619",11348091,"Male","Entire","Crossbreed","Dental disorder","Euthanasia",2000-10-07,2016-07-08
"27620",11368247,"Male","Entire","Jack Russell Terrier","Behaviour disorder","Euthanasia",2002-07-01,2018-05-02
"27623",2894187,"Female","Neutered","Cavalier King Charles Spaniel","Spinal cord disorder","Euthanasia",2002-03-07,2018-01-08
"27624",12355093,"Male","Entire","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2002-03-03,2018-01-04
"27625",3826949,"Female","Entire","Jack Russell Terrier","Mass","Euthanasia",2000-04-03,2016-02-04
"27626",7719562,"Male","Neutered","Crossbreed","Kidney disease","Euthanasia",2000-10-11,2016-10-12
"27627",11589876,"Female","Neutered","Border Collie","Kidney disease","Euthanasia",2003-11-11,2019-11-12
"27628",12185223,"Male","Neutered","Jack Russell Terrier","Lethargy","Euthanasia",2000-04-03,2016-03-04
"27629",2314377,"Male","Neutered","Crossbreed","Collapsed","Euthanasia",2001-01-04,2017-01-05
"27630",11490667,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2002-04-03,2018-03-04
"27633",2118578,"Male","Entire","Crossbreed","Brain disorder","Euthanasia",2001-01-09,2017-02-10
"27638",12348261,"Male","Neutered","Crossbreed","Lower respiratory tract disorder","Euthanasia",2001-01-11,2017-04-12
"27640",11321550,"Female","Neutered","West Highland White Terrier","Spinal cord disorder","Euthanasia",2000-07-07,2016-09-08
"27643",1804355,"Female","Entire","Yorkshire Terrier","Brain disorder","Euthanasia",2001-03-07,2017-06-08
"27644",955457,"Female","Entire","Crossbreed","Brain disorder","Euthanasia",2001-01-09,2017-05-10
"27645",11583498,"Female","Neutered","Crossbreed","Collapsed","Euthanasia",2002-01-03,2018-04-04
"27647",12364954,"Male","Neutered","Crossbreed","Collapsed","Euthanasia",2000-01-11,2016-07-12
"27649",1860571,"Male","Neutered","Crossbreed","Musculoskeletal disorder","Euthanasia",2001-01-06,2017-07-07
"27650",12326707,"Female","Neutered","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2001-01-03,2017-06-04
"27651",1525755,"Female","Entire","Crossbreed","Neoplasia","Euthanasia",2001-01-11,2017-08-12
"27669",12326576,"Male","Entire","Crossbreed","Musculoskeletal disorder","Euthanasia",2000-01-11,2016-12-12
"27710",12313756,"Male","Entire","Labrador Retriever","Disorder not diagnsosed","Euthanasia",1999-10-11,2016-01-01
"27719",1468125,"Male","Neutered","Border Terrier","Pancreatic disorder","Euthanasia",2002-12-04,2018-05-06
"27723",1986213,"Male","Entire","Border Terrier","Musculoskeletal disorder","Euthanasia",2001-10-07,2017-03-09
"27729",11947020,"Female","Entire","Crossbreed","Incontinence","Euthanasia",2000-07-04,2016-02-06
"27732",953393,"Male","Entire","Crossbreed","Ophthalmological disorder","Euthanasia",2000-07-04,2016-03-06
"27735",1114949,"Male","Entire","Crossbreed","Hearing impaired","Euthanasia",2002-08-01,2018-07-03
"27737",2158282,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",1999-09-11,2016-06-01
"27742",11365517,"Male","Neutered","English Springer Spaniel","Poor quality of life","Euthanasia",2000-09-05,2016-07-07
"27744",11529221,"Female","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-04-01,2016-04-03
"27745",1531343,"Female","Entire","Jack Russell Terrier","Collapsed","Euthanasia",2001-06-11,2018-05-01
"27747",3833620,"Female","Neutered","Border Collie","Kidney disease","Euthanasia",2000-06-04,2016-05-06
"27748",1965113,"Male","Neutered","Border Collie","Poor quality of life","Euthanasia",2000-10-07,2016-08-09
"27750",2185992,"Male","Entire","Spaniel","Kidney disease","Unassisted",2001-06-06,2017-06-08
"27753",6918157,"Female","Neutered","English Springer Spaniel","Neoplasia","Euthanasia",2003-07-09,2019-08-11
"27754",11494989,"Male","Neutered","Jack Russell Terrier","Upper respiratory tract disorder","Unassisted",2000-05-04,2016-06-06
"27755",11828271,"Female","Neutered","Tibetan Spaniel","Collapsed","Euthanasia",2000-10-10,2016-12-12
"27756",11499108,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2002-01-10,2018-04-12
"27757",2023110,"Female","Neutered","Crossbreed","Brain disorder","Euthanasia",2002-07-01,2018-12-03
"27759",11541505,"Male","Entire","Crossbreed","Congenital disorder","Euthanasia",2002-04-06,2018-07-08
"27761",6816040,"Female","Entire","Crossbreed","Collapsed","Euthanasia",2002-01-01,2018-07-03
"27763",11354330,"Female","Neutered","Border Terrier","Collapsed","Euthanasia",2002-06-06,2018-10-08
"27766",11363216,"Female","Neutered","Crossbreed","Traumatic injury","Euthanasia",2002-04-01,2018-11-03
"27771",2344387,"Male","Entire","German Short-Haired Pointer","Thin","Euthanasia",2000-01-08,2016-07-10
"27772",1636322,"Male","Entire","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2001-04-07,2017-09-09
"27774",3755706,"Male","Neutered","Crossbreed","Poor quality of life","Euthanasia",1999-02-12,2016-08-02
"27775",7719662,"Male","Neutered","Crossbreed","Incontinence","Euthanasia",2000-01-12,2017-07-02
"27778",2001486,"Male","Neutered","Border Terrier","Collapsed","Euthanasia",1999-02-12,2016-09-02
"27779",949128,"Female","Neutered","Shih-tzu","Ophthalmological disorder","Euthanasia",2000-01-11,2017-09-01
"27786",12349726,"Female","Neutered","Yorkshire Terrier","Lower respiratory tract disorder","Euthanasia",2002-01-02,2018-12-04
"27789",6890342,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2001-01-11,2018-12-01
"27831",7395157,"Female","Neutered","Staffordshire Bull Terrier","Incontinence","Euthanasia",1999-10-12,2016-02-03
"27840",2873997,"Female","Neutered","Staffordshire Bull Terrier","Lethargy","Euthanasia",1999-10-10,2016-04-01
"27841",2890521,"Male","Entire","Labrador Retriever","Musculoskeletal disorder","Euthanasia",2002-08-01,2018-04-04
"27848",11494965,"Male","Neutered","Crossbreed","Collapsed","Euthanasia",2002-12-07,2018-07-10
"27849",3505137,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2002-04-01,2018-01-04
"27852",3759081,"Male","Entire","West Highland White Terrier","Brain disorder","Euthanasia",2001-09-02,2017-08-05
"27858",11356378,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Unassisted",2000-12-10,2017-10-01
"27860",1969498,"Male","Entire","English Springer Spaniel","Musculoskeletal disorder","Unassisted",2001-05-01,2017-05-04
"27863",11536720,"Female","Neutered","Crossbreed","Haematopoietic disorder","Euthanasia",2001-07-08,2017-06-11
"27866",12316903,"Male","Entire","Lurcher","Brain disorder","Euthanasia",1999-01-12,2016-01-03
"27867",11530023,"Female","Neutered","Jack Russell Terrier","Poor quality of life","Euthanasia",2000-01-04,2016-01-07
"27868",1639800,"Female","Neutered","Toy Poodle","Musculoskeletal disorder","Euthanasia",1999-12-11,2016-12-02
"27871",1627080,"Male","Entire","Chihuahua","Heart disease","Euthanasia",1999-01-11,2016-02-02
"27872",1244684,"Male","Neutered","Jack Russell Terrier","Lower respiratory tract disorder","Euthanasia",1999-04-12,2016-06-03
"27873",11314073,"Female","Neutered","Labrador Retriever","Musculoskeletal disorder","Euthanasia",2000-10-08,2016-11-11
"27874",2880944,"Male","Entire","Crossbreed","Haematopoietic disorder","Euthanasia",2000-01-10,2017-02-01
"27876",3448347,"Male","Neutered","West Highland White Terrier","Behaviour disorder","Euthanasia",2001-01-06,2017-02-09
"27879",11950026,"Male","Entire","Crossbreed","Musculoskeletal disorder","Euthanasia",2001-01-05,2017-03-08
"27880",11535292,"Female","Neutered","West Highland White Terrier","Haematopoietic disorder","Euthanasia",2001-06-09,2017-11-12
"27885",7720858,"Male","Entire","Jack Russell Terrier","Upper respiratory tract disorder","Euthanasia",2001-01-12,2018-08-03
"27886",1860388,"Male","Entire","Bearded Collie","Spinal cord disorder","Euthanasia",1999-02-11,2016-07-02
"27887",11491505,"Female","Neutered","Jack Russell Terrier","Spinal cord disorder","Euthanasia",2002-01-06,2018-06-09
"27892",12323266,"Male","Neutered","West Highland White Terrier","Kidney disease","Euthanasia",2001-01-01,2017-09-04
"27895",11555626,"Male","Neutered","Lancashire Heeler","Collapsed","Euthanasia",2000-02-01,2016-10-04
"27897",11537994,"Female","Neutered","Shih-tzu","Traumatic injury","Euthanasia",2002-01-05,2018-08-08
"27902",11540209,"Female","Neutered","Crossbreed","Brain disorder","Euthanasia",2002-01-12,2019-12-03
"27905",2259171,"Female","Neutered","Border Collie","Disorder not diagnsosed","Euthanasia",2001-01-05,2017-11-08
"27909",12321653,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",1999-01-10,2016-12-01
"27948",2360374,"Female","Neutered","Staffordshire Bull Terrier","Poor quality of life","Euthanasia",2002-11-06,2018-01-10
"27958",3281239,"Female","Entire","Staffordshire Bull Terrier","Mass","Euthanasia",2001-09-05,2017-02-09
"27965",2007583,"Male","Neutered","Crossbreed","Poor quality of life","Euthanasia",2000-08-07,2016-04-11
"27966",7719572,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-12-11,2017-12-03
"27968",11361202,"Female","Neutered","Jack Russell Terrier","Appetite disoder","Euthanasia",2000-09-04,2016-07-08
"27972",11486491,"Female","Neutered","Patterdale Terrier","Disorder not diagnsosed","Euthanasia",2000-10-08,2016-09-12
"27975",11493518,"Female","Neutered","English Springer Spaniel","Behaviour disorder","Euthanasia",1999-04-09,2016-04-01
"27979",7395156,"Male","Neutered","Crossbreed","Thin","Euthanasia",1999-08-12,2016-08-04
"27980",2179924,"Female","Neutered","Jack Russell Terrier","Pancreatic disorder","Euthanasia",2000-01-11,2017-04-03
"27982",2175400,"Male","Neutered","Lhasa Apso","Appetite disoder","Euthanasia",2001-09-12,2018-11-04
"27983",1370490,"Male","Entire","Miniature Poodle","Disorder not diagnsosed","Euthanasia",2001-09-07,2017-10-11
"27984",1871682,"Female","Entire","Crossbreed","Brain disorder","Euthanasia",2001-04-01,2017-08-05
"27986",12314486,"Female","Entire","Crossbreed","Kidney disease","Euthanasia",2000-01-04,2016-04-08
"27987",6912051,"Male","Neutered","Staffordshire Bull Terrier","Mass","Euthanasia",2000-03-09,2017-07-01
"27988",2888066,"Male","Neutered","Border Collie","Collapsed","Euthanasia",2001-01-09,2018-05-01
"27989",11487798,"Male","Neutered","Crossbreed","Liver disorder","Euthanasia",2001-01-01,2017-07-05
"27990",1972702,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2001-07-05,2017-10-09
"27991",11486126,"Female","Neutered","West Highland White Terrier","Neoplasia","Euthanasia",2000-01-06,2016-05-10
"27992",11563242,"Female","Entire","Japanese Inu Akita","Behaviour disorder","Euthanasia",2000-08-07,2016-12-11
"27994",11825484,"Female","Neutered","Crossbreed","Spinal cord disorder","Euthanasia",1999-01-09,2016-07-01
"27995",12322945,"Female","Neutered","Crossbreed","Spinal cord disorder","Euthanasia",2000-01-10,2017-06-02
"27999",12322558,"Female","Neutered","West Highland White Terrier","Haematopoietic disorder","Euthanasia",2000-01-04,2016-08-08
"28004",1999834,"Male","Entire","West Highland White Terrier","Collapsed","Euthanasia",1999-01-10,2016-09-02
"28005",1041959,"Female","Neutered","Crossbreed","Appetite disoder","Euthanasia",2002-01-12,2019-11-04
"28049",3402659,"Male","Entire","West Highland White Terrier","Ophthalmological disorder","Euthanasia",2000-12-08,2017-02-01
"28061",2338848,"Male","Entire","Cairn Terrier","Male reproductive system disorder","Euthanasia",1999-10-08,2016-03-01
"28064",3280252,"Female","Entire","Crossbreed","Female reproductive disorder","Euthanasia",2001-10-04,2017-03-09
"28074",1670011,"Female","Neutered","Border Collie","Collapsed","Euthanasia",1999-12-10,2016-11-03
"28076",1826794,"Female","Neutered","Lhasa Apso","Kidney disease","Euthanasia",2000-06-08,2017-05-01
"28078",1444551,"Female","Entire","Collie","Polyuria/polydipsia","Euthanasia",2000-05-08,2017-04-01
"28079",11621297,"Male","Neutered","Staffordshire Bull Terrier","Brain disorder","Euthanasia",2001-12-07,2017-11-12
"28080",2186739,"Male","Neutered","Jack Russell Terrier","Spinal arthropathy","Euthanasia",1999-09-09,2016-08-02
"28082",12185363,"Male","Neutered","Crossbreed","Poor quality of life","Euthanasia",2000-12-05,2016-11-10
"28083",892673,"Female","Neutered","Miniature Pinscher","Heart disease","Euthanasia",1999-11-12,2016-11-05
"28084",11529810,"Male","Entire","Border Collie","Brain disorder","Euthanasia",2000-04-03,2016-03-08
"28086",1859845,"Male","Entire","Springer Spaniel - Unspecified","Disorder not diagnsosed","Euthanasia",1999-07-10,2016-08-03
"28087",12326446,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-01-10,2017-03-03
"28088",1973580,"Female","Neutered","Yorkshire Terrier","Kidney disease","Euthanasia",2000-01-01,2016-02-06
"28090",11525493,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2001-09-04,2017-10-09
"28091",3162382,"Male","Neutered","Crossbreed","Mass","Euthanasia",2000-02-03,2016-03-08
"28095",2351866,"Male","Neutered","Crossbreed","Enteropathy","Euthanasia",2001-08-07,2017-11-12
"28096",6730425,"Female","Entire","Crossbreed","Neoplasia","Euthanasia",2000-02-04,2016-06-09
"28097",12355089,"Female","Neutered","Border Collie","Mass","Euthanasia",2002-01-03,2018-05-08
"28101",2013860,"Male","Neutered","Bichon Frise","Disorder not diagnsosed","Euthanasia",2000-02-03,2016-08-08
"28103",1067064,"Male","Neutered","Crossbreed","Kidney disease","Euthanasia",2001-02-09,2018-09-02
"28107",3949093,"Male","Entire","Crossbreed","Mass","Euthanasia",2000-01-06,2016-10-11
"28110",11773792,"Female","Neutered","Crossbreed","Appetite disoder","Euthanasia",2000-01-07,2016-11-12
"28111",11875308,"Female","Neutered","Border Collie","Musculoskeletal disorder","Euthanasia",2001-01-07,2017-11-12
"28112",3345593,"Male","Neutered","Yorkshire Terrier","Poor quality of life","Euthanasia",2000-02-07,2016-12-12
"28116",11486459,"Female","Neutered","Crossbreed","Lower respiratory tract disorder","Euthanasia",1999-01-09,2016-12-02
"28147",2011702,"Female","Neutered","Crossbreed","Lethargy","Euthanasia",2000-11-12,2017-02-06
"28158",11350935,"Female","Neutered","Crossbreed","Mass","Euthanasia",2001-11-12,2018-07-06
"28159",2188161,"Male","Entire","Crossbreed","Collapsed","Euthanasia",1999-06-12,2016-01-06
"28162",3463721,"Female","Neutered","Jack Russell Terrier","Mass","Euthanasia",2000-09-11,2017-07-05
"28170",6751782,"Female","Entire","German Shepherd Dog","Thin","Euthanasia",2000-09-01,2016-08-07
"28175",1671257,"Female","Entire","Labrador Retriever","Collapsed","Euthanasia",1999-12-09,2016-12-03
"28176",6841383,"Male","Entire","Crossbreed","Lower respiratory tract disorder","Euthanasia",2000-01-02,2016-01-08
"28181",11562400,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-04-03,2016-03-09
"28186",3513297,"Male","Neutered","Crossbreed","Spinal cord disorder","Euthanasia",1999-09-07,2016-09-01
"28188",11528365,"Female","Neutered","Jack Russell Terrier","Collapsed","Euthanasia",1999-11-08,2016-11-02
"28189",3758482,"Male","Neutered","Yorkshire Terrier","Brain disorder","Euthanasia",2000-05-11,2017-08-05
"28193",12356441,"Female","Neutered","Crossbreed","Traumatic injury","Euthanasia",2001-04-07,2018-05-01
"28196",1969875,"Male","Entire","Dachshund","Disorder not diagnsosed","Euthanasia",2001-07-01,2017-12-07
"28198",6966726,"Male","Neutered","Miniature Schnauzer","Collapsed","Euthanasia",2001-03-11,2018-08-05
"28201",3569887,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2000-01-06,2016-08-12
"28204",11350424,"Male","Neutered","Springer Spaniel - Unspecified","Brain disorder","Euthanasia",2002-01-04,2018-08-10
"28210",12488737,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-01-05,2016-11-11
"28245",1344201,"Female","Entire","Crossbreed","Poor quality of life","Euthanasia",2001-10-08,2018-05-03
"28250",11464458,"Male","Entire","Yorkshire Terrier","Kidney disease","Euthanasia",1999-12-08,2016-08-03
"28251",1751764,"Male","Entire","Crossbreed","Neoplasia","Euthanasia",1999-08-08,2016-04-03
"28260",2008667,"Female","Neutered","West Highland White Terrier","Poor quality of life","Euthanasia",2000-06-08,2017-07-03
"28261",11570151,"Female","Neutered","Crossbreed","Heart disease","Euthanasia",2001-11-08,2018-12-03
"28266",1354126,"Female","Neutered","Jack Russell Terrier","Incontinence","Euthanasia",2001-05-10,2018-07-05
"28267",2011453,"Female","Entire","Crossbreed","Haematopoietic disorder","Euthanasia",2000-01-01,2016-02-08
"28268",1313756,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",1999-10-12,2016-11-07
"28269",12319821,"Male","Neutered","Golden Retriever","Collapsed","Euthanasia",2000-01-01,2016-02-08
"28277",2336155,"Male","Entire","Crossbreed","Behaviour disorder","Euthanasia",1999-03-08,2016-08-03
"28280",12346707,"Male","Neutered","Staffordshire Bull Terrier","Appetite disoder","Euthanasia",2000-01-05,2016-07-12
"28284",12338417,"Female","Neutered","Shih-tzu","Disorder not diagnsosed","Euthanasia",2001-01-09,2018-11-04
"28286",2349198,"Male","Neutered","Short-Haired Chihuahua","Collapsed","Euthanasia",2001-01-03,2017-10-10
"28326",3563598,"Female","Neutered","West Highland White Terrier","Kidney disease","Euthanasia",2002-11-03,2018-05-11
"28335",11346395,"Female","Entire","Crossbreed","Collapsed","Euthanasia",1999-06-09,2016-04-05
"28340",11368894,"Male","Neutered","Jack Russell Terrier","Haematopoietic disorder","Euthanasia",2000-03-12,2017-04-08
"28341",3456812,"Female","Neutered","Miniature Poodle","Disorder not diagnsosed","Euthanasia",1999-02-11,2016-03-07
"28344",1977084,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-01-06,2017-02-02
"28345",1971364,"Male","Entire","Crossbreed","Enteropathy","Euthanasia",1999-08-09,2016-11-05
"28354",6859045,"Male","Neutered","Jack Russell Terrier","Collapsed","Euthanasia",2000-03-05,2017-08-01
"28357",12347374,"Female","Neutered","Jack Russell Terrier","Kidney disease","Euthanasia",2001-01-03,2017-07-11
"28364",2871619,"Male","Entire","Crossbreed","Enteropathy","Euthanasia",1999-02-05,2016-12-01
"28405",11349046,"Male","Neutered","Cairn Terrier","Poor quality of life","Euthanasia",1999-02-10,2016-05-07
"28406",11775582,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2001-01-01,2017-05-10
"28410",3756157,"Female","Neutered","Jack Russell Terrier","Heart disease","Euthanasia",2000-05-02,2016-10-11
"28411",1828162,"Male","Entire","Shetland Sheepdog","Spinal cord disorder","Euthanasia",2000-01-10,2017-07-07
"28412",7718952,"Female","Entire","Staffordshire Bull Terrier","Disorder not diagnsosed","Euthanasia",2000-01-03,2016-06-12
"28430",6791813,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2001-12-05,2018-01-03
"28451",1866076,"Male","Neutered","Crossbreed","Collapsed","Euthanasia",2000-03-06,2017-02-04
"28452",1601905,"Male","Entire","West Highland White Terrier","Disorder not diagnsosed","Unrecorded",1999-09-03,2016-07-01
"28454",11770961,"Female","Neutered","Crossbreed","Behaviour disorder","Euthanasia",1999-10-07,2016-09-05
"28455",2197939,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2001-04-02,2017-06-12
"28456",11555470,"Female","Entire","Border Collie","Behaviour disorder","Euthanasia",1999-11-12,2016-11-10
"28457",1793064,"Male","Neutered","West Highland White Terrier","Heart disease","Euthanasia",2000-01-05,2017-03-03
"28458",1864653,"Male","Neutered","West Highland White Terrier","Lower respiratory tract disorder","Euthanasia",2000-10-04,2017-10-02
"28460",11350902,"Female","Neutered","Cocker Spaniel","Neoplasia","Euthanasia",2000-10-10,2017-12-08
"28462",11494634,"Male","Neutered","Crossbreed","Enteropathy","Euthanasia",2001-04-04,2018-05-02
"28463",1666028,"Female","Neutered","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2000-08-03,2017-10-01
"28468",11874300,"Male","Neutered","Crossbreed","Upper respiratory tract disorder","Euthanasia",2001-01-03,2018-04-01
"28473",12334330,"Male","Neutered","West Highland White Terrier","Disorder not diagnsosed","Euthanasia",2000-01-10,2017-06-08
"28475",1864641,"Male","Neutered","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",2000-07-04,2017-11-02
"28476",7082971,"Female","Entire","Bichon Frise","Poor quality of life","Euthanasia",2000-01-01,2016-06-11
"28477",6791769,"Male","Entire","Yorkshire Terrier","Disorder not diagnsosed","Euthanasia",2001-03-01,2017-10-11
"28478",2876893,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-06-03,2017-11-01
"28486",12184837,"Male","Neutered","Boxer","Neoplasia","Euthanasia",1999-02-06,2016-12-04
"28516",11343053,"Female","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",1999-08-04,2016-03-03
"28524",2003047,"Male","Entire","Crossbreed","Disorder not diagnsosed","Unassisted",2000-05-01,2016-02-12
"28529",11346180,"Male","Neutered","Lhasa Apso","Spinal cord disorder","Euthanasia",1999-09-09,2016-07-08
"28531",2182901,"Male","Neutered","","Heart disease","Euthanasia",1999-09-02,2016-09-01
"28533",11316415,"Male","Entire","Italian Greyhound","Neoplasia","Euthanasia",2001-10-08,2018-12-07
"28536",3280225,"Male","Neutered","Crossbreed","Thin","Euthanasia",2000-08-11,2017-12-10
"28537",2918981,"Male","Neutered","Crossbreed","Lower respiratory tract disorder","Euthanasia",2000-04-10,2017-07-09
"28538",1963260,"Female","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2000-06-05,2017-09-04
"28540",11523856,"Male","Entire","Yorkshire Terrier","Appetite disoder","Euthanasia",2000-07-09,2017-12-08
"28543",3344530,"Male","Entire","Whippet","Spinal cord disorder","Euthanasia",2000-01-07,2017-07-06
"28545",1795293,"Male","Entire","Poodle","Disorder not diagnsosed","Euthanasia",1999-04-08,2016-10-07
"28546",11580099,"Female","Neutered","Crossbreed","Kidney disease","Euthanasia",2001-01-01,2017-09-12
"28547",12334441,"Female","Neutered","Crossbreed","Kidney disease","Euthanasia",2000-01-12,2017-08-11
"28548",11952850,"Male","Neutered","Powder Puff Chinese Crested","Enteropathy","Euthanasia",2002-05-03,2019-11-02
"28550",12315337,"Male","Neutered","Crossbreed","Mass","Euthanasia",2001-01-04,2018-12-03
"28584",3962960,"Male","Neutered","West Highland White Terrier","Musculoskeletal disorder","Euthanasia",2000-11-06,2017-04-06
"28589",2007373,"Male","Entire","Border Terrier","Brain disorder","Euthanasia",2000-07-07,2017-03-07
"28592",12314164,"Female","Neutered","Lhasa Apso","Mass","Euthanasia",1999-09-09,2016-05-09
"28597",11485290,"Female","Neutered","Crossbreed","Thin","Euthanasia",2000-03-03,2017-03-03
"28600",3540842,"Male","Neutered","Collie","Collapsed","Euthanasia",1999-12-02,2016-12-02
"28601",3510335,"Female","Neutered","Crossbreed","Mass","Euthanasia",1999-06-01,2016-06-01
"28603",3514297,"Female","Entire","Jack Russell Terrier","Disorder not diagnsosed","Euthanasia",1999-11-01,2016-11-01
"28606",3515752,"Female","Entire","Yorkshire Terrier","Disorder not diagnsosed","Euthanasia",1999-12-01,2016-12-01
"28608",3505027,"Female","Entire","","Disorder not diagnsosed","Euthanasia",1999-02-01,2016-02-01
"28611",6907216,"Female","Entire","Yorkshire Terrier","Lower respiratory tract disorder","Euthanasia",1999-02-09,2016-01-09
"28615",3828088,"Female","Entire","Brittany Spaniel","Lethargy","Euthanasia",1999-05-04,2016-04-04
"28628",3833614,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",1999-06-04,2016-05-04
"28634",7052666,"Male","Entire","Jack Russell Terrier","Poor quality of life","Euthanasia",1999-12-08,2016-11-08
"28636",11527945,"Male","Entire","Patterdale Terrier","Disorder not diagnsosed","Euthanasia",1999-09-06,2016-08-06
